Cluster,Members,Representative,"Weighted Score"
0,53,Center,-836.6
0,53,"Lowest Energy",-888.0
1,40,Center,-946.7
1,40,"Lowest Energy",-979.5
2,31,Center,-825.1
2,31,"Lowest Energy",-1060.5
3,30,Center,-928.3
3,30,"Lowest Energy",-930.3
4,29,Center,-872.2
4,29,"Lowest Energy",-945.8
5,29,Center,-871.5
5,29,"Lowest Energy",-943.0
6,25,Center,-988.3
6,25,"Lowest Energy",-988.3
7,25,Center,-882.7
7,25,"Lowest Energy",-882.7
8,24,Center,-952.8
8,24,"Lowest Energy",-952.8
9,24,Center,-891.5
9,24,"Lowest Energy",-891.5
10,23,Center,-843.5
10,23,"Lowest Energy",-929.6
11,22,Center,-792.0
11,22,"Lowest Energy",-938.0
12,22,Center,-878.1
12,22,"Lowest Energy",-878.1
13,21,Center,-849.9
13,21,"Lowest Energy",-912.3
14,20,Center,-805.6
14,20,"Lowest Energy",-1055.1
15,20,Center,-858.4
15,20,"Lowest Energy",-858.4
16,20,Center,-839.6
16,20,"Lowest Energy",-854.5
17,18,Center,-838.9
17,18,"Lowest Energy",-870.8
18,17,Center,-806.3
18,17,"Lowest Energy",-960.5
19,17,Center,-809.4
19,17,"Lowest Energy",-902.2
20,15,Center,-867.9
20,15,"Lowest Energy",-923.0
21,15,Center,-861.4
21,15,"Lowest Energy",-861.4
22,14,Center,-843.0
22,14,"Lowest Energy",-843.0
23,14,Center,-926.2
23,14,"Lowest Energy",-926.2
24,13,Center,-826.4
24,13,"Lowest Energy",-945.0
25,13,Center,-829.0
25,13,"Lowest Energy",-857.7
26,13,Center,-891.6
26,13,"Lowest Energy",-891.6
27,12,Center,-853.0
27,12,"Lowest Energy",-856.5
28,12,Center,-927.9
28,12,"Lowest Energy",-927.9
29,12,Center,-917.2
29,12,"Lowest Energy",-917.2
